months_driven,total_kms_driven,make,vehicle_model,year,fuel_type,last_service_type,days_until_service,kms_until_service,driver_profile,trigger
2.7,6337.9,Hyundai,Tucson,2011,petrol,oil_change,22,1662.1,heavy,km
1.37,2667.8,BMW,3 Series,2023,petrol,full_service,131,8332.2,average,km
4.62,4525.9,Honda,Accord,2012,hybrid,oil_change,39,1265.6,light,time
1.23,2717.1,Volkswagen,Golf,2012,petrol,full_service,71,5282.9,average,km
4.66,8298.3,Hyundai,i20,2020,petrol,oil_change,28,1701.7,average,km
1.0,1695.6,Hyundai,Creta,2022,hybrid,oil_change,168,9202.9,average,time
0.87,710.2,Volkswagen,Golf,2017,hybrid,inspection,144,3461.5,light,time
3.44,5704.4,BMW,X3,2018,petrol,inspection,80,4295.6,average,km
1.6,1018.2,Maruti,Swift,2014,petrol,inspection,117,2421.4,light,time
1.13,1686.3,Ford,Fiesta,2021,diesel,full_service,157,7751.8,average,time
2.85,2482.2,BMW,5 Series,2020,diesel,full_service,104,2979.2,light,time
4.92,5870.8,Honda,Accord,2015,diesel,oil_change,15,583.2,average,time
9.81,15136.5,Honda,CR-V,2013,electric,oil_change,32,1612.2,average,time
4.38,2563.2,Volkswagen,Tiguan,2018,petrol,oil_change,51,972.2,light,time
2.32,3874.9,Toyota,Camry,2019,diesel,oil_change,137,7497.5,average,time
3.1,2286.4,Toyota,RAV4,2012,diesel,brake_service,63,1539.2,light,time
1.07,4658.1,Hyundai,Tucson,2010,petrol,full_service,22,3341.9,heavy,km
5.76,8969.9,Toyota,Camry,2017,petrol,oil_change,20,1030.1,average,km
0.49,1027.0,BMW,X3,2011,petrol,full_service,99,6973.0,average,km
2.13,1488.6,Honda,Civic,2018,petrol,oil_change,133,2959.2,light,time
5.23,7655.8,Maruti,Swift,2024,diesel,oil_change,1,57.6,average,time
4.09,8203.6,Maruti,Swift,2023,hybrid,full_service,62,4064.7,average,time
1.16,1199.1,Ford,Focus,2010,diesel,oil_change,179,6151.0,light,time
2.73,4888.5,Maruti,Swift,2012,hybrid,oil_change,80,4711.5,average,km
3.23,2520.1,Honda,Civic,2010,petrol,oil_change,69,1791.1,light,time
2.89,7987.9,BMW,3 Series,2021,diesel,oil_change,89,8044.3,heavy,time
0.54,1680.3,Maruti,Vitara,2017,petrol,full_service,82,8319.7,heavy,km
0.2,511.5,Toyota,Corolla,2023,diesel,inspection,166,12354.5,heavy,time
2.32,6265.9,Hyundai,i20,2015,hybrid,full_service,36,3334.1,heavy,km
0.34,714.8,Hyundai,i20,2013,petrol,full_service,103,7285.2,average,km
0.97,771.9,Ford,Focus,2023,hybrid,brake_service,146,4155.3,light,time
2.66,2335.1,Honda,Civic,2012,petrol,oil_change,120,3435.9,light,time
2.85,6978.9,Volkswagen,Tiguan,2018,hybrid,oil_change,63,5021.1,average,km
5.7,5493.5,Toyota,RAV4,2017,petrol,oil_change,14,445.6,light,time
1.65,4992.8,Honda,CR-V,2014,electric,inspection,304,30248.4,heavy,time
0.95,1481.6,Volkswagen,Tiguan,2016,hybrid,oil_change,159,8641.9,average,time
1.66,2696.8,Ford,Fiesta,2017,petrol,oil_change,113,5858.6,average,time
1.68,6496.0,Ford,Escape,2014,petrol,full_service,12,1504.0,heavy,km
0.58,991.4,Honda,CR-V,2010,petrol,full_service,140,7008.6,average,km
10.83,7788.9,Honda,CR-V,2012,electric,brake_service,91,2153.0,light,time
1.76,4579.2,Volkswagen,Golf,2010,petrol,full_service,38,3420.8,heavy,km
0.76,670.4,Toyota,RAV4,2021,hybrid,full_service,149,4788.8,average,time
4.71,4532.1,Volkswagen,Golf,2023,diesel,full_service,44,1377.3,light,time
1.68,3257.8,Volkswagen,Polo,2012,petrol,oil_change,77,4742.2,average,km
12.4,24805.8,Ford,Escape,2019,electric,oil_change,19,1261.1,average,time
2.02,5522.9,Hyundai,i20,2011,diesel,full_service,70,6477.1,heavy,km
4.74,7979.5,Ford,Fiesta,2010,petrol,brake_service,0,20.5,average,km
0.64,909.8,Ford,Focus,2011,hybrid,brake_service,166,7625.6,average,time
0.32,234.7,Hyundai,i20,2022,petrol,oil_change,182,4436.8,light,time
4.5,2010.4,Volkswagen,Tiguan,2022,diesel,oil_change,33,491.9,light,time
3.49,12792.0,Volkswagen,Tiguan,2016,diesel,oil_change,18,2208.0,heavy,km
0.3,584.1,Toyota,Corolla,2014,petrol,full_service,106,7415.9,average,km
2.51,1829.2,Hyundai,Tucson,2016,hybrid,oil_change,87,2049.6,light,time
3.61,5386.1,Honda,Accord,2012,diesel,brake_service,46,2253.7,average,time
0.76,3126.1,Hyundai,Creta,2020,petrol,full_service,52,6873.9,heavy,km
3.01,4007.5,Ford,Fiesta,2019,diesel,oil_change,62,2749.0,average,time
3.76,3217.3,Hyundai,Creta,2012,petrol,full_service,61,1696.7,light,time
3.89,6302.6,Honda,Accord,2018,hybrid,oil_change,110,5697.4,average,km
5.48,17634.7,Volkswagen,Golf,2021,electric,inspection,168,17692.3,heavy,time
1.89,1552.5,Hyundai,Tucson,2010,hybrid,oil_change,119,3403.8,light,time
1.92,1304.4,BMW,X3,2016,hybrid,oil_change,97,2197.0,light,time
2.81,6227.9,Ford,Fiesta,2014,hybrid,full_service,46,3372.1,heavy,km
4.56,4831.2,Hyundai,i20,2020,diesel,inspection,26,893.8,light,time
2.94,2393.3,Honda,CR-V,2015,petrol,oil_change,98,2633.9,light,time
6.65,4743.0,Maruti,Swift,2019,electric,oil_change,205,4838.5,light,time
0.44,282.8,Honda,CR-V,2019,hybrid,full_service,166,4166.0,light,time
3.3,7258.7,Maruti,Vitara,2014,petrol,inspection,10,741.3,average,km
3.6,9197.1,Hyundai,Creta,2017,petrol,full_service,10,802.9,heavy,km
3.7,3259.7,Ford,Focus,2013,petrol,brake_service,73,2130.0,light,time
5.16,10347.8,Toyota,Camry,2019,diesel,brake_service,48,3173.7,average,time
5.9,12989.2,BMW,X3,2016,electric,oil_change,143,10307.8,average,time
8.16,17704.8,Maruti,Swift,2014,electric,full_service,70,5016.4,heavy,time
1.78,6515.5,Ford,Escape,2013,petrol,inspection,13,1484.5,heavy,km
2.33,5799.6,Ford,Focus,2015,petrol,oil_change,27,2200.4,heavy,km
0.11,438.3,Ford,Escape,2015,diesel,oil_change,95,11561.7,heavy,km
4.26,8637.9,Toyota,RAV4,2016,petrol,inspection,22,1362.1,average,km
0.38,1140.2,BMW,5 Series,2016,petrol,oil_change,93,8859.8,heavy,km
3.44,5073.5,Ford,Fiesta,2024,hybrid,oil_change,75,3705.1,average,time
0.32,366.0,Honda,Accord,2015,electric,oil_change,377,15711.2,average,time
1.62,2586.9,Toyota,Camry,2016,petrol,brake_service,117,6113.9,average,time
1.92,1691.9,Maruti,Vitara,2014,petrol,full_service,129,3898.6,light,time
4.91,8510.4,Hyundai,Creta,2023,petrol,oil_change,40,2288.3,average,time
6.47,9576.8,BMW,X3,2013,electric,brake_service,151,7285.8,average,time
1.05,1935.9,Volkswagen,Tiguan,2017,electric,oil_change,251,15557.2,average,time
2.13,1678.7,Maruti,Baleno,2013,petrol,oil_change,99,2481.1,light,time
0.59,1004.1,Hyundai,Tucson,2014,petrol,oil_change,118,6995.9,average,km
1.48,1159.8,Honda,Accord,2010,diesel,oil_change,119,2922.4,light,time
0.41,288.5,Ford,Escape,2020,petrol,oil_change,184,5097.7,light,time
0.25,328.9,BMW,3 Series,2014,petrol,brake_service,140,7671.1,average,km
5.19,5493.5,Toyota,Corolla,2018,petrol,full_service,27,910.6,average,time
7.12,4668.6,Maruti,Vitara,2014,hybrid,brake_service,3,70.9,light,time
1.03,3773.2,Honda,Accord,2021,petrol,full_service,61,7226.8,heavy,km
2.3,2433.2,Ford,Focus,2020,petrol,full_service,144,4984.8,light,time
4.62,7933.0,Honda,CR-V,2012,petrol,full_service,1,67.0,average,km
7.35,5919.5,BMW,5 Series,2015,electric,inspection,134,3556.1,light,time
3.57,1952.6,Toyota,Corolla,2014,diesel,full_service,72,1253.1,light,time
1.47,4667.0,BMW,5 Series,2012,petrol,oil_change,32,3333.0,heavy,km
1.56,4208.7,Hyundai,Tucson,2017,petrol,oil_change,65,5791.3,heavy,km
3.13,8644.7,Honda,CR-V,2017,petrol,brake_service,15,1355.3,heavy,km
4.42,3425.9,Honda,CR-V,2021,petrol,inspection,46,1211.5,light,time
1.27,3323.6,Hyundai,i20,2021,diesel,inspection,138,11585.5,heavy,time
3.95,3262.0,Maruti,Vitara,2015,electric,full_service,250,6452.6,light,time
2.17,4055.2,Toyota,Camry,2018,petrol,full_service,97,5944.8,average,km
